iter	Passed	Remaining
410	3993	5722
411	4003	5714
412	4015	5707
413	4027	5700
414	4039	5693
415	4050	5686
416	4063	5681
417	4075	5674
418	4086	5665
419	4098	5660
420	4110	5653
421	4123	5647
422	4134	5639
423	4146	5632
424	4158	5625
425	4169	5617
426	4180	5609
427	4191	5602
428	4202	5593
429	4214	5586
430	4226	5579
431	4237	5571
432	4249	5564
433	4263	5560
434	4276	5553
435	4287	5545
436	4298	5537
437	4310	5530
438	4321	5522
439	4332	5514
440	4345	5507
441	4357	5500
442	4368	5493
443	4380	5485
444	4392	5478
445	4402	5469
446	4414	5461
447	4426	5454
448	4438	5446
449	4449	5438
450	4463	5433
451	4477	5429
452	4490	5422
453	4501	5413
454	4513	5405
455	4524	5398
456	4536	5390
457	4548	5382
458	4559	5374
459	4571	5366
460	4582	5358
461	4594	5350
462	4606	5342
463	4617	5333
464	4627	5324
465	4639	5316
466	4649	5306
467	4660	5298
468	4672	5290
469	4684	5282
470	4696	5274
471	4707	5266
472	4719	5258
473	4731	5250
474	4743	5242
475	4754	5234
476	4765	5224
477	4776	5216
478	4789	5209
479	4800	5200
480	4812	5192
481	4823	5183
482	4835	5175
483	4847	5167
484	4858	5158
485	4869	5150
486	4881	5141
487	4891	5132
488	4902	5123
489	4914	5114
490	4925	5105
491	4936	5097
492	4948	5089
493	4958	5079
494	4971	5071
495	4985	5065
496	4994	5055
497	5005	5045
498	5015	5035
499	5025	5025
500	5037	5016
501	5047	5007
502	5058	4998
503	5070	4989
504	5081	4981
505	5093	4972
506	5104	4963
507	5116	4955
508	5127	4945
509	5139	4937
510	5150	4928
511	5162	4920
512	5174	4911
513	5186	4903
514	5197	4894
515	5208	4885
516	5220	4877
517	5231	4868
518	5242	4858
519	5254	4850
520	5266	4841
521	5277	4832
522	5288	4823
523	5299	4814
524	5311	4805
525	5322	4796
526	5335	4789
527	5346	4779
528	5356	4769
529	5367	4759
530	5377	4749
531	5387	4739
532	5397	4729
533	5409	4720
534	5420	4711
535	5430	4701
536	5441	4691
537	5451	4681
538	5463	4672
539	5474	4663
540	5490	4658
541	5501	4649
542	5512	4639
543	5523	4629
544	5533	4619
545	5543	4609
546	5555	4600
547	5566	4591
548	5576	4581
549	5587	4571
550	5598	4562
551	5609	4552
